,target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1,reactant-1-2,reactant-2-2,reaction-product-smiles-2,reaction-name-2,reaction-recipe-2,reaction-groupby-column-2,reactant-1-3,reactant-2-3,reaction-product-smiles-3,reaction-name-3,reaction-recipe-3,reaction-groupby-column-3,reactant-1-4,reactant-2-4,reaction-product-smiles-4,reaction-name-4,reaction-recipe-4,reaction-groupby-column-4
0,x0310-x0416-merge-1-1,3,100,40,wasgo-2.0,Cn1ncc(NC(=O)OC(C)(C)C)c1N,O=C(O)C1CCCO1,Cn1ncc(NC(=O)OC(C)(C)C)c1NC(=O)C1CCCO1,Amidation,standard,True,Cn1ncc(NC(=O)OC(C)(C)C)c1NC(=O)C1CCCO1,,Cn1ncc(N)c1NC(=O)C1CCCO1,Boc deprotection,standard,True,Cn1ncc(N)c1NC(=O)C1CCCO1,N#CCC(=O)O,Cn1ncc(NC(=O)CC#N)c1NC(=O)C1CCCO1,Amidation,standard,True,,,,,,
1,x0310-x0416-merge-2-1,3,100,40,wasgo-2.0,CC(C)(C)OC(=O)Nc1cccc(N)c1,O=C(O)C1CCCO1,CC(C)(C)OC(=O)Nc1cccc(NC(=O)C2CCCO2)c1,Amidation,standard,True,CC(C)(C)OC(=O)Nc1cccc(NC(=O)C2CCCO2)c1,,Nc1cccc(NC(=O)C2CCCO2)c1,Boc deprotection,standard,True,Nc1cccc(NC(=O)C2CCCO2)c1,N#CCC(=O)O,N#CCC(=O)Nc1cccc(NC(=O)C2CCCO2)c1,Amidation,standard,True,,,,,,
2,x0310-x0416-merge-2-2,3,100,40,wasgo-2.0,CC(C)(C)OC(=O)Nc1cc(N)c(C)cc1,O=C(O)C1CCCO1,Cc1ccc(NC(=O)OC(C)(C)C)cc1NC(=O)C1CCCO1,Amidation,standard,True,Cc1ccc(NC(=O)OC(C)(C)C)cc1NC(=O)C1CCCO1,,Cc1ccc(N)cc1NC(=O)C1CCCO1,Boc deprotection,standard,True,Cc1ccc(N)cc1NC(=O)C1CCCO1,N#CCC(=O)O,Cc1ccc(NC(=O)CC#N)cc1NC(=O)C1CCCO1,Amidation,standard,True,,,,,,
3,x0310-x0416-merge-2-3,3,100,40,wasgo-2.0,Nc1cc(NC(=O)OC(C)(C)C)ccn1,O=C(O)C1CCCO1,CC(C)(C)OC(=O)Nc1ccnc(NC(=O)C2CCCO2)c1,Amidation,standard,True,CC(C)(C)OC(=O)Nc1ccnc(NC(=O)C2CCCO2)c1,,Nc1ccnc(NC(=O)C2CCCO2)c1,Boc deprotection,standard,True,Nc1ccnc(NC(=O)C2CCCO2)c1,N#CCC(=O)O,N#CCC(=O)Nc1ccnc(NC(=O)C2CCCO2)c1,Amidation,standard,True,,,,,,
4,x0310-x0416-merge-2-4,3,100,40,wasgo-2.0,CC(C)(C)OC(=O)Nc1cc(N)ccc1C,O=C(O)C1CCCO1,Cc1ccc(NC(=O)C2CCCO2)cc1NC(=O)OC(C)(C)C,Amidation,standard,True,Cc1ccc(NC(=O)C2CCCO2)cc1NC(=O)OC(C)(C)C,,Cc1ccc(NC(=O)C2CCCO2)cc1N,Boc deprotection,standard,True,Cc1ccc(NC(=O)C2CCCO2)cc1N,N#CCC(=O)O,Cc1ccc(NC(=O)C2CCCO2)cc1NC(=O)CC#N,Amidation,standard,True,,,,,,
5,x0310-x0416-merge-2-5,3,100,40,wasgo-2.0,CC(C)(C)OC(=O)Nc1cc(N)ccc1C,O=C(O)C1CCCO1,Cc1ccc(NC(=O)C2CCCO2)cc1NC(=O)OC(C)(C)C,Amidation,standard,True,Cc1ccc(NC(=O)C2CCCO2)cc1NC(=O)OC(C)(C)C,,Cc1ccc(NC(=O)C2CCCO2)cc1N,Boc deprotection,standard,True,Cc1ccc(NC(=O)C2CCCO2)cc1N,N#CCC(=O)O,Cc1ccc(NC(=O)C2CCCO2)cc1NC(=O)CC#N,Amidation,standard,True,,,,,,
6,x0310-x0416-merge-2-6,3,100,40,wasgo-2.0,CC(C)(C)OC(=O)Nc1cc(N)ccc1F,O=C(O)C1CCCO1,CC(C)(C)OC(=O)Nc1cc(NC(=O)C2CCCO2)ccc1F,Amidation,standard,True,CC(C)(C)OC(=O)Nc1cc(NC(=O)C2CCCO2)ccc1F,,Nc1cc(NC(=O)C2CCCO2)ccc1F,Boc deprotection,standard,True,Nc1cc(NC(=O)C2CCCO2)ccc1F,N#CCC(=O)O,N#CCC(=O)Nc1cc(NC(=O)C2CCCO2)ccc1F,Amidation,standard,True,,,,,,
7,x0310-x0416-merge-2-7,3,100,40,wasgo-2.0,CC(C)(C)OC(=O)Nc1cc(C)cc(N)c1,O=C(O)C1CCCO1,Cc1cc(NC(=O)OC(C)(C)C)cc(NC(=O)C2CCCO2)c1,Amidation,standard,True,Cc1cc(NC(=O)OC(C)(C)C)cc(NC(=O)C2CCCO2)c1,,Cc1cc(N)cc(NC(=O)C2CCCO2)c1,Boc deprotection,standard,True,Cc1cc(N)cc(NC(=O)C2CCCO2)c1,N#CCC(=O)O,Cc1cc(NC(=O)CC#N)cc(NC(=O)C2CCCO2)c1,Amidation,standard,True,,,,,,
8,x0310-x0416-merge-2-8,3,100,40,wasgo-2.0,CC(C)(C)OC(=O)Nc1cc(N)cc(C)c1,O=C(O)C1CCCO1,Cc1cc(NC(=O)OC(C)(C)C)cc(NC(=O)C2CCCO2)c1,Amidation,standard,True,Cc1cc(NC(=O)OC(C)(C)C)cc(NC(=O)C2CCCO2)c1,,Cc1cc(N)cc(NC(=O)C2CCCO2)c1,Boc deprotection,standard,True,Cc1cc(N)cc(NC(=O)C2CCCO2)c1,N#CCC(=O)O,Cc1cc(NC(=O)CC#N)cc(NC(=O)C2CCCO2)c1,Amidation,standard,True,,,,,,
9,x0310-x0732-merge-1-1,3,100,40,wasgo-2.0,Cn1ncc(NC(=O)OC(C)(C)C)c1N,O=C(O)CO,Cn1ncc(NC(=O)OC(C)(C)C)c1NC(=O)CO,Amidation,standard,True,Cn1ncc(NC(=O)OC(C)(C)C)c1NC(=O)CO,,Cn1ncc(N)c1NC(=O)CO,Boc deprotection,standard,True,Cn1ncc(N)c1NC(=O)CO,N#CCC(=O)O,Cn1ncc(NC(=O)CC#N)c1NC(=O)CO,Amidation,standard,True,,,,,,
10,x0310-x0732-merge-2-1,3,100,40,wasgo-2.0,CC(C)(C)OC(=O)Nc1cccc(N)c1,O=C(O)CO,CC(C)(C)OC(=O)Nc1cccc(NC(=O)CO)c1,Amidation,standard,True,CC(C)(C)OC(=O)Nc1cccc(NC(=O)CO)c1,,Nc1cccc(NC(=O)CO)c1,Boc deprotection,standard,True,Nc1cccc(NC(=O)CO)c1,N#CCC(=O)O,N#CCC(=O)Nc1cccc(NC(=O)CO)c1,Amidation,standard,True,,,,,,
11,x0310-x0732-merge-2-2,3,100,40,wasgo-2.0,CC(C)(C)OC(=O)Nc1cc(N)c(C)cc1,O=C(O)CO,Cc1ccc(NC(=O)OC(C)(C)C)cc1NC(=O)CO,Amidation,standard,True,Cc1ccc(NC(=O)OC(C)(C)C)cc1NC(=O)CO,,Cc1ccc(N)cc1NC(=O)CO,Boc deprotection,standard,True,Cc1ccc(N)cc1NC(=O)CO,N#CCC(=O)O,Cc1ccc(NC(=O)CC#N)cc1NC(=O)CO,Amidation,standard,True,,,,,,
12,x0310-x0732-merge-2-3,3,100,40,wasgo-2.0,Nc1cc(NC(=O)OC(C)(C)C)ccn1,O=C(O)CO,CC(C)(C)OC(=O)Nc1ccnc(NC(=O)CO)c1,Amidation,standard,True,CC(C)(C)OC(=O)Nc1ccnc(NC(=O)CO)c1,,Nc1ccnc(NC(=O)CO)c1,Boc deprotection,standard,True,Nc1ccnc(NC(=O)CO)c1,N#CCC(=O)O,N#CCC(=O)Nc1ccnc(NC(=O)CO)c1,Amidation,standard,True,,,,,,
13,x0310-x0732-merge-2-4,3,100,40,wasgo-2.0,CC(C)(C)OC(=O)Nc1cc(N)ccc1C,O=C(O)CO,Cc1ccc(NC(=O)CO)cc1NC(=O)OC(C)(C)C,Amidation,standard,True,Cc1ccc(NC(=O)CO)cc1NC(=O)OC(C)(C)C,,Cc1ccc(NC(=O)CO)cc1N,Boc deprotection,standard,True,Cc1ccc(NC(=O)CO)cc1N,N#CCC(=O)O,Cc1ccc(NC(=O)CO)cc1NC(=O)CC#N,Amidation,standard,True,,,,,,
14,x0310-x0732-merge-2-5,3,100,40,wasgo-2.0,CC(C)(C)OC(=O)Nc1cc(N)ccc1C,O=C(O)CO,Cc1ccc(NC(=O)CO)cc1NC(=O)OC(C)(C)C,Amidation,standard,True,Cc1ccc(NC(=O)CO)cc1NC(=O)OC(C)(C)C,,Cc1ccc(NC(=O)CO)cc1N,Boc deprotection,standard,True,Cc1ccc(NC(=O)CO)cc1N,N#CCC(=O)O,Cc1ccc(NC(=O)CO)cc1NC(=O)CC#N,Amidation,standard,True,,,,,,
15,x0310-x0732-merge-2-6,3,100,40,wasgo-2.0,CC(C)(C)OC(=O)Nc1cc(N)ccc1F,O=C(O)CO,CC(C)(C)OC(=O)Nc1cc(NC(=O)CO)ccc1F,Amidation,standard,True,CC(C)(C)OC(=O)Nc1cc(NC(=O)CO)ccc1F,,Nc1cc(NC(=O)CO)ccc1F,Boc deprotection,standard,True,Nc1cc(NC(=O)CO)ccc1F,N#CCC(=O)O,N#CCC(=O)Nc1cc(NC(=O)CO)ccc1F,Amidation,standard,True,,,,,,
16,x0310-x0732-merge-2-7,3,100,40,wasgo-2.0,CC(C)(C)OC(=O)Nc1cc(C)cc(N)c1,O=C(O)CO,Cc1cc(NC(=O)CO)cc(NC(=O)OC(C)(C)C)c1,Amidation,standard,True,Cc1cc(NC(=O)CO)cc(NC(=O)OC(C)(C)C)c1,,Cc1cc(N)cc(NC(=O)CO)c1,Boc deprotection,standard,True,Cc1cc(N)cc(NC(=O)CO)c1,N#CCC(=O)O,Cc1cc(NC(=O)CO)cc(NC(=O)CC#N)c1,Amidation,standard,True,,,,,,
17,x0310-x0732-merge-2-8,3,100,40,wasgo-2.0,CC(C)(C)OC(=O)Nc1cc(N)cc(C)c1,O=C(O)CO,Cc1cc(NC(=O)CO)cc(NC(=O)OC(C)(C)C)c1,Amidation,standard,True,Cc1cc(NC(=O)CO)cc(NC(=O)OC(C)(C)C)c1,,Cc1cc(N)cc(NC(=O)CO)c1,Boc deprotection,standard,True,Cc1cc(N)cc(NC(=O)CO)c1,N#CCC(=O)O,Cc1cc(NC(=O)CO)cc(NC(=O)CC#N)c1,Amidation,standard,True,,,,,,
18,x0310-x0739-merge-2-1,2,100,40,wasgo-2.0,Cc1cc(O)cc(N)c1,N#CCC(=O)O,Cc1cc(O)cc(NC(=O)CC#N)c1,Amidation,standard,True,Cc1cc(O)cc(NC(=O)CC#N)c1,O=C(CCl)N1CCOCC1,Cc1cc(NC(=O)CC#N)cc(OCC(=O)N2CCOCC2)c1,Williamson ether,standard,True,,,,,,,,,,,,
19,x0310-x0739-merge-2-2,2,100,40,wasgo-2.0,Cc1cnc(O)cc1N,N#CCC(=O)O,Cc1cnc(O)cc1NC(=O)CC#N,Amidation,standard,True,Cc1cnc(O)cc1NC(=O)CC#N,O=C(CCl)N1CCOCC1,Cc1cnc(OCC(=O)N2CCOCC2)cc1NC(=O)CC#N,Williamson ether,standard,True,,,,,,,,,,,,
20,x0310-x0739-merge-2-3,2,100,40,wasgo-2.0,Cc1cc(O)cc(N)c1,N#CCC(=O)O,Cc1cc(O)cc(NC(=O)CC#N)c1,Amidation,standard,True,Cc1cc(O)cc(NC(=O)CC#N)c1,O=C(CCl)N1CCOCC1,Cc1cc(NC(=O)CC#N)cc(OCC(=O)N2CCOCC2)c1,Williamson ether,standard,True,,,,,,,,,,,,
21,x0310-x0739-merge-2-4,2,100,40,wasgo-2.0,Nc1cccc(O)c1,N#CCC(=O)O,N#CCC(=O)Nc1cccc(O)c1,Amidation,standard,True,N#CCC(=O)Nc1cccc(O)c1,O=C(CCl)N1CCOCC1,N#CCC(=O)Nc1cccc(OCC(=O)N2CCOCC2)c1,Williamson ether,standard,True,,,,,,,,,,,,
22,x0310-x0739-merge-2-5,2,100,40,wasgo-2.0,Cc1ccc(O)cc1N,N#CCC(=O)O,Cc1ccc(O)cc1NC(=O)CC#N,Amidation,standard,True,Cc1ccc(O)cc1NC(=O)CC#N,O=C(CCl)N1CCOCC1,Cc1ccc(OCC(=O)N2CCOCC2)cc1NC(=O)CC#N,Williamson ether,standard,True,,,,,,,,,,,,
23,x0310-x0739-merge-2-6,2,100,40,wasgo-2.0,Cc1ccc(O)cc1N,N#CCC(=O)O,Cc1ccc(O)cc1NC(=O)CC#N,Amidation,standard,True,Cc1ccc(O)cc1NC(=O)CC#N,O=C(CCl)N1CCOCC1,Cc1ccc(OCC(=O)N2CCOCC2)cc1NC(=O)CC#N,Williamson ether,standard,True,,,,,,,,,,,,
24,x0310-x0739-merge-2-7,2,100,40,wasgo-2.0,Fc1ccc(O)cc1N,N#CCC(=O)O,N#CCC(=O)Nc1cc(O)ccc1F,Amidation,standard,True,N#CCC(=O)Nc1cc(O)ccc1F,O=C(CCl)N1CCOCC1,N#CCC(=O)Nc1cc(OCC(=O)N2CCOCC2)ccc1F,Williamson ether,standard,True,,,,,,,,,,,,
25,x0310-x0739-merge-2-8,2,100,40,wasgo-2.0,Nc1cc(O)c(C)cc1,N#CCC(=O)O,Cc1ccc(NC(=O)CC#N)cc1O,Amidation,standard,True,Cc1ccc(NC(=O)CC#N)cc1O,O=C(CCl)N1CCOCC1,Cc1ccc(NC(=O)CC#N)cc1OCC(=O)N1CCOCC1,Williamson ether,standard,True,,,,,,,,,,,,
26,x0310-x0739-merge-2-9,2,100,40,wasgo-2.0,Nc1cc(O)c(C)cc1C,N#CCC(=O)O,Cc1cc(C)c(NC(=O)CC#N)cc1O,Amidation,standard,True,Cc1cc(C)c(NC(=O)CC#N)cc1O,O=C(CCl)N1CCOCC1,Cc1cc(C)c(OCC(=O)N2CCOCC2)cc1NC(=O)CC#N,Williamson ether,standard,True,,,,,,,,,,,,
27,x0310-x0739-merge-2-10,2,100,40,wasgo-2.0,Nc1cncc(O)c1,N#CCC(=O)O,N#CCC(=O)Nc1cncc(O)c1,Amidation,standard,True,N#CCC(=O)Nc1cncc(O)c1,O=C(CCl)N1CCOCC1,N#CCC(=O)Nc1cncc(OCC(=O)N2CCOCC2)c1,Williamson ether,standard,True,,,,,,,,,,,,
28,x0310-x0739-merge-2-11,2,100,40,wasgo-2.0,Nc1ccnc(O)c1,N#CCC(=O)O,N#CCC(=O)Nc1ccnc(O)c1,Amidation,standard,True,N#CCC(=O)Nc1ccnc(O)c1,O=C(CCl)N1CCOCC1,N#CCC(=O)Nc1ccnc(OCC(=O)N2CCOCC2)c1,Williamson ether,standard,True,,,,,,,,,,,,
29,x0528-x0450-merge-1-1,1,100,40,wasgo-2.0,O=C(c1ccc(F)cc1Cl)N(C)C,O=C1C(O)CCN1C,CN(C)C(=O)c1ccc(F)cc1OC1CCN(C)C1=O,Nucleophillic substitution,standard,True,,,,,,,,,,,,,,,,,,
30,x0528-x0450-merge-1-2,1,100,40,wasgo-2.0,CN(C)C(=O)c1ccccc1Cl,O=C1C(O)CCN1C,CN(C)C(=O)c1ccccc1OC1CCN(C)C1=O,Nucleophillic substitution,standard,True,,,,,,,,,,,,,,,,,,
31,x0528-x0739-merge-1-1,3,100,40,wasgo-2.0,C[Si](C)(Oc1ccccc1O)C(C)(C)C,O=C1C(Cl)CCN1C,CN1CCC(Oc2ccccc2O[Si](C)(C)C(C)(C)C)C1=O,Williamson ether,standard,True,CN1CCC(Oc2ccccc2O[Si](C)(C)C(C)(C)C)C1=O,,CN1CCC(Oc2ccccc2O)C1=O,TBS_alcohol_deprotection,standard,True,CN1CCC(Oc2ccccc2O)C1=O,O=C(CCl)N1CCOCC1,CN1CCC(Oc2ccccc2OCC(=O)N2CCOCC2)C1=O,Williamson ether,standard,True,,,,,,
32,x0528-x0739-merge-1-2,3,100,40,wasgo-2.0,Cc1cccc(O)c1OCc1ccccc1,O=C1C(Cl)CCN1C,Cc1cccc(OC2CCN(C)C2=O)c1OCc1ccccc1,Williamson ether,standard,True,Cc1cccc(OC2CCN(C)C2=O)c1OCc1ccccc1,,Cc1cccc(OC2CCN(C)C2=O)c1O,Benzyl_alcohol_deprotection,standard,True,Cc1cccc(OC2CCN(C)C2=O)c1O,O=C(CCl)N1CCOCC1,Cc1cccc(OC2CCN(C)C2=O)c1OCC(=O)N1CCOCC1,Williamson ether,standard,True,,,,,,
33,x0528-x0739-merge-1-3,3,100,40,wasgo-2.0,Cc1cc(O)c(OCc2ccccc2)c(C)c1,O=C1C(Cl)CCN1C,Cc1cc(C)c(OCc2ccccc2)c(OC2CCN(C)C2=O)c1,Williamson ether,standard,True,Cc1cc(C)c(OCc2ccccc2)c(OC2CCN(C)C2=O)c1,,Cc1cc(C)c(O)c(OC2CCN(C)C2=O)c1,Benzyl_alcohol_deprotection,standard,True,Cc1cc(C)c(O)c(OC2CCN(C)C2=O)c1,O=C(CCl)N1CCOCC1,Cc1cc(C)c(OCC(=O)N2CCOCC2)c(OC2CCN(C)C2=O)c1,Williamson ether,standard,True,,,,,,
34,x0528-x0739-merge-1-4,3,100,40,wasgo-2.0,Cc1cc(OCc2ccccc2)c(O)cc1,O=C1C(Cl)CCN1C,Cc1ccc(OC2CCN(C)C2=O)c(OCc2ccccc2)c1,Williamson ether,standard,True,Cc1ccc(OC2CCN(C)C2=O)c(OCc2ccccc2)c1,,Cc1ccc(OC2CCN(C)C2=O)c(O)c1,Benzyl_alcohol_deprotection,standard,True,Cc1ccc(OC2CCN(C)C2=O)c(O)c1,O=C(CCl)N1CCOCC1,Cc1ccc(OC2CCN(C)C2=O)c(OCC(=O)N2CCOCC2)c1,Williamson ether,standard,True,,,,,,
35,x0528-x0739-merge-1-5,3,100,40,wasgo-2.0,Cc1cnc(OCc2ccccc2)c(O)c1,O=C1C(Cl)CCN1C,Cc1cnc(OCc2ccccc2)c(OC2CCN(C)C2=O)c1,Williamson ether,standard,True,Cc1cnc(OCc2ccccc2)c(OC2CCN(C)C2=O)c1,,Cc1cnc(O)c(OC2CCN(C)C2=O)c1,Benzyl_alcohol_deprotection,standard,True,Cc1cnc(O)c(OC2CCN(C)C2=O)c1,O=C(CCl)N1CCOCC1,Cc1cnc(OCC(=O)N2CCOCC2)c(OC2CCN(C)C2=O)c1,Williamson ether,standard,True,,,,,,
36,x0884-x0719-merge-1-1,4,100,40,wasgo-2.0,Brc1c(N)cccc1NC(=O)OC(C)(C)C,CC(=O)O,CC(=O)Nc1cccc(NC(=O)OC(C)(C)C)c1Br,Amidation,standard,True,CC(=O)Nc1cccc(NC(=O)OC(C)(C)C)c1Br,,CC(=O)Nc1cccc(N)c1Br,Boc deprotection,standard,True,CC(=O)Nc1cccc(N)c1Br,CC(=O)O,CC(=O)Nc1cccc(NC(C)=O)c1Br,Amidation,standard,True,CC(=O)Nc1cccc(NC(C)=O)c1Br,CC1(C)OB(CNS(C)(=O)=O)OC1(C)C,CC(=O)Nc1cccc(NC(C)=O)c1CNS(C)(=O)=O,Suzuki,standard,True
37,x0884-x0719-x0922-merge-2-1,3,100,40,wasgo-2.0,Fc1ccc(O)c(Br)c1N,CC(=O)O,CC(=O)Nc1c(F)ccc(O)c1Br,Amidation,standard,True,CC(=O)Nc1c(F)ccc(O)c1Br,CN(C)C(=O)CCl,CC(=O)Nc1c(F)ccc(OCC(=O)N(C)C)c1Br,Williamson ether,standard,True,CC(=O)Nc1c(F)ccc(OCC(=O)N(C)C)c1Br,CC1(C)OB(CNS(C)(=O)=O)OC1(C)C,CC(=O)Nc1c(CNS(C)(=O)=O)ccc(OCC(=O)N(C)C)c1Br,Suzuki,standard,True,,,,,,
38,x0884-x0719-x0922-merge-2-2,3,100,40,wasgo-2.0,Nc1cccc(O)c1Br,CC(=O)O,CC(=O)Nc1cccc(O)c1Br,Amidation,standard,True,CC(=O)Nc1cccc(O)c1Br,CN(C)C(=O)CCl,CC(=O)Nc1cccc(OCC(=O)N(C)C)c1Br,Williamson ether,standard,True,CC(=O)Nc1cccc(OCC(=O)N(C)C)c1Br,CC1(C)OB(CNS(C)(=O)=O)OC1(C)C,CC(=O)Nc1cccc(OCC(=O)N(C)C)c1CNS(C)(=O)=O,Suzuki,standard,True,,,,,,
39,x0884-x0732-merge-2-1,3,100,40,wasgo-2.0,CC(C)(C)OC(=O)Nc1c(C)cccc1N,CC(=O)O,CC(=O)Nc1cccc(C)c1NC(=O)OC(C)(C)C,Amidation,standard,True,CC(=O)Nc1cccc(C)c1NC(=O)OC(C)(C)C,,CC(=O)Nc1cccc(C)c1N,Boc deprotection,standard,True,CC(=O)Nc1cccc(C)c1N,O=C(O)CO,CC(=O)Nc1cccc(C)c1NC(=O)CO,Amidation,standard,True,,,,,,
40,x0884-x0732-merge-2-2,3,100,40,wasgo-2.0,CC(C)(C)OC(=O)Nc1ccccc1N,CC(=O)O,CC(=O)Nc1ccccc1NC(=O)OC(C)(C)C,Amidation,standard,True,CC(=O)Nc1ccccc1NC(=O)OC(C)(C)C,,CC(=O)Nc1ccccc1N,Boc deprotection,standard,True,CC(=O)Nc1ccccc1N,O=C(O)CO,CC(=O)Nc1ccccc1NC(=O)CO,Amidation,standard,True,,,,,,
