target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1,reactant-1-2,reactant-2-2,reaction-product-smiles-2,reaction-name-2,reaction-recipe-2,reaction-groupby-column-2,reactant-1-3,reactant-2-3,reaction-product-smiles-3,reaction-name-3,reaction-recipe-3,reaction-groupby-column-3,reactant-1-4,reactant-2-4,reaction-product-smiles-4,reaction-name-4,reaction-recipe-4,reaction-groupby-column-4,,,,,,
x0310-x0416-merge-1-1,3,100,40,wasgo-2.0,Cn1ncc(NC(=O)OC(C)(C)C)c1N,O=C(O)C1CCCO1,product-1,Amidation,standard,TRUE,product-1,,product-2,Boc deprotection,standard,TRUE,product-2,N#CCC(=O)O,product-3,Amidation,standard,TRUE,,,,,,,,,,,,
x0310-x0416-merge-2-1,3,100,40,wasgo-2.0,CC(C)(C)OC(=O)Nc1cccc(N)c1,O=C(O)C1CCCO1,product-1,Amidation,standard,TRUE,product-1,,product-2,Boc deprotection,standard,TRUE,product-2,N#CCC(=O)O,product-3,Amidation,standard,TRUE,,,,,,,,,,,,
x0310-x0416-merge-2-2,3,100,40,wasgo-2.0,CC(C)(C)OC(=O)Nc1cc(N)c(C)cc1,O=C(O)C1CCCO1,product-1,Amidation,standard,TRUE,product-1,,product-2,Boc deprotection,standard,TRUE,product-2,N#CCC(=O)O,product-3,Amidation,standard,TRUE,,,,,,,,,,,,
x0310-x0416-merge-2-3,3,100,40,wasgo-2.0,Nc1cc(NC(=O)OC(C)(C)C)ccn1,O=C(O)C1CCCO1,product-1,Amidation,standard,TRUE,product-1,,product-2,Boc deprotection,standard,TRUE,product-2,N#CCC(=O)O,product-3,Amidation,standard,TRUE,,,,,,,,,,,,
x0310-x0416-merge-2-4,3,100,40,wasgo-2.0,CC(C)(C)OC(=O)Nc1cc(N)ccc1C,O=C(O)C1CCCO1,product-1,Amidation,standard,TRUE,product-1,,product-2,Boc deprotection,standard,TRUE,product-2,N#CCC(=O)O,product-3,Amidation,standard,TRUE,,,,,,,,,,,,
x0310-x0416-merge-2-5,3,100,40,wasgo-2.0,CC(C)(C)OC(=O)Nc1cc(N)ccc1C,O=C(O)C1CCCO1,product-1,Amidation,standard,TRUE,product-1,,product-2,Boc deprotection,standard,TRUE,product-2,N#CCC(=O)O,product-3,Amidation,standard,TRUE,,,,,,,,,,,,
x0310-x0416-merge-2-6,3,100,40,wasgo-2.0,CC(C)(C)OC(=O)Nc1cc(N)ccc1F,O=C(O)C1CCCO1,product-1,Amidation,standard,TRUE,product-1,,product-2,Boc deprotection,standard,TRUE,product-2,N#CCC(=O)O,product-3,Amidation,standard,TRUE,,,,,,,,,,,,
x0310-x0416-merge-2-7,3,100,40,wasgo-2.0,CC(C)(C)OC(=O)Nc1cc(C)cc(N)c1,O=C(O)C1CCCO1,product-1,Amidation,standard,TRUE,product-1,,product-2,Boc deprotection,standard,TRUE,product-2,N#CCC(=O)O,product-3,Amidation,standard,TRUE,,,,,,,,,,,,
x0310-x0416-merge-2-8,3,100,40,wasgo-2.0,CC(C)(C)OC(=O)Nc1cc(N)cc(C)c1,O=C(O)C1CCCO1,product-1,Amidation,standard,TRUE,product-1,,product-2,Boc deprotection,standard,TRUE,product-2,N#CCC(=O)O,product-3,Amidation,standard,TRUE,,,,,,,,,,,,
x0310-x0732-merge-1-1,3,100,40,wasgo-2.0,Cn1ncc(NC(=O)OC(C)(C)C)c1N,O=C(O)CO,product-1,Amidation,standard,TRUE,product-1,,product-2,Boc deprotection,standard,TRUE,product-2,N#CCC(=O)O,product-3,Amidation,standard,TRUE,,,,,,,,,,,,
x0310-x0732-merge-2-1,3,100,40,wasgo-2.0,CC(C)(C)OC(=O)Nc1cccc(N)c1,O=C(O)CO,product-1,Amidation,standard,TRUE,product-1,,product-2,Boc deprotection,standard,TRUE,product-2,N#CCC(=O)O,product-3,Amidation,standard,TRUE,,,,,,,,,,,,
x0310-x0732-merge-2-2,3,100,40,wasgo-2.0,CC(C)(C)OC(=O)Nc1cc(N)c(C)cc1,O=C(O)CO,product-1,Amidation,standard,TRUE,product-1,,product-2,Boc deprotection,standard,TRUE,product-2,N#CCC(=O)O,product-3,Amidation,standard,TRUE,,,,,,,,,,,,
x0310-x0732-merge-2-3,3,100,40,wasgo-2.0,Nc1cc(NC(=O)OC(C)(C)C)ccn1,O=C(O)CO,product-1,Amidation,standard,TRUE,product-1,,product-2,Boc deprotection,standard,TRUE,product-2,N#CCC(=O)O,product-3,Amidation,standard,TRUE,,,,,,,,,,,,
x0310-x0732-merge-2-4,3,100,40,wasgo-2.0,CC(C)(C)OC(=O)Nc1cc(N)ccc1C,O=C(O)CO,product-1,Amidation,standard,TRUE,product-1,,product-2,Boc deprotection,standard,TRUE,product-2,N#CCC(=O)O,product-3,Amidation,standard,TRUE,,,,,,,,,,,,
x0310-x0732-merge-2-5,3,100,40,wasgo-2.0,CC(C)(C)OC(=O)Nc1cc(N)ccc1C,O=C(O)CO,product-1,Amidation,standard,TRUE,product-1,,product-2,Boc deprotection,standard,TRUE,product-2,N#CCC(=O)O,product-3,Amidation,standard,TRUE,,,,,,,,,,,,
x0310-x0732-merge-2-6,3,100,40,wasgo-2.0,CC(C)(C)OC(=O)Nc1cc(N)ccc1F,O=C(O)CO,product-1,Amidation,standard,TRUE,product-1,,product-2,Boc deprotection,standard,TRUE,product-2,N#CCC(=O)O,product-3,Amidation,standard,TRUE,,,,,,,,,,,,
x0310-x0732-merge-2-7,3,100,40,wasgo-2.0,CC(C)(C)OC(=O)Nc1cc(C)cc(N)c1,O=C(O)CO,product-1,Amidation,standard,TRUE,product-1,,product-2,Boc deprotection,standard,TRUE,product-2,N#CCC(=O)O,product-3,Amidation,standard,TRUE,,,,,,,,,,,,
x0310-x0732-merge-2-8,3,100,40,wasgo-2.0,CC(C)(C)OC(=O)Nc1cc(N)cc(C)c1,O=C(O)CO,product-1,Amidation,standard,TRUE,product-1,,product-2,Boc deprotection,standard,TRUE,product-2,N#CCC(=O)O,product-3,Amidation,standard,TRUE,,,,,,,,,,,,
x0310-x0739-merge-2-1,2,100,40,wasgo-2.0,Cc1cc(O)cc(N)c1,N#CCC(=O)O,product-1,Amidation,standard,TRUE,product-1,O=C(CCl)N1CCOCC1,product-2,Williamson ether,standard,TRUE,,,,,,,,,,,,,,,,,,
x0310-x0739-merge-2-2,2,100,40,wasgo-2.0,Cc1cnc(O)cc1N,N#CCC(=O)O,product-1,Amidation,standard,TRUE,product-1,O=C(CCl)N1CCOCC1,product-2,Williamson ether,standard,TRUE,,,,,,,,,,,,,,,,,,
x0310-x0739-merge-2-3,2,100,40,wasgo-2.0,Cc1cc(O)cc(N)c1,N#CCC(=O)O,product-1,Amidation,standard,TRUE,product-1,O=C(CCl)N1CCOCC1,product-2,Williamson ether,standard,TRUE,,,,,,,,,,,,,,,,,,
x0310-x0739-merge-2-4,2,100,40,wasgo-2.0,Nc1cccc(O)c1,N#CCC(=O)O,product-1,Amidation,standard,TRUE,product-1,O=C(CCl)N1CCOCC1,product-2,Williamson ether,standard,TRUE,,,,,,,,,,,,,,,,,,
x0310-x0739-merge-2-5,2,100,40,wasgo-2.0,Cc1ccc(O)cc1N,N#CCC(=O)O,product-1,Amidation,standard,TRUE,product-1,O=C(CCl)N1CCOCC1,product-2,Williamson ether,standard,TRUE,,,,,,,,,,,,,,,,,,
x0310-x0739-merge-2-6,2,100,40,wasgo-2.0,Cc1ccc(O)cc1N,N#CCC(=O)O,product-1,Amidation,standard,TRUE,product-1,O=C(CCl)N1CCOCC1,product-2,Williamson ether,standard,TRUE,,,,,,,,,,,,,,,,,,
x0310-x0739-merge-2-7,2,100,40,wasgo-2.0,Fc1ccc(O)cc1N,N#CCC(=O)O,product-1,Amidation,standard,TRUE,product-1,O=C(CCl)N1CCOCC1,product-2,Williamson ether,standard,TRUE,,,,,,,,,,,,,,,,,,
x0310-x0739-merge-2-8,2,100,40,wasgo-2.0,Nc1cc(O)c(C)cc1,N#CCC(=O)O,product-1,Amidation,standard,TRUE,product-1,O=C(CCl)N1CCOCC1,product-2,Williamson ether,standard,TRUE,,,,,,,,,,,,,,,,,,
x0310-x0739-merge-2-9,2,100,40,wasgo-2.0,Nc1cc(O)c(C)cc1C,N#CCC(=O)O,product-1,Amidation,standard,TRUE,product-1,O=C(CCl)N1CCOCC1,product-2,Williamson ether,standard,TRUE,,,,,,,,,,,,,,,,,,
x0310-x0739-merge-2-10,2,100,40,wasgo-2.0,Nc1cncc(O)c1,N#CCC(=O)O,product-1,Amidation,standard,TRUE,product-1,O=C(CCl)N1CCOCC1,product-2,Williamson ether,standard,TRUE,,,,,,,,,,,,,,,,,,
x0310-x0739-merge-2-11,2,100,40,wasgo-2.0,Nc1ccnc(O)c1,N#CCC(=O)O,product-1,Amidation,standard,TRUE,product-1,O=C(CCl)N1CCOCC1,product-2,Williamson ether,standard,TRUE,,,,,,,,,,,,,,,,,,
x0528-x0450-merge-1-1,1,100,40,wasgo-2.0,O=C(c1ccc(F)cc1Cl)N(C)C,O=C1C(O)CCN1C,product-1,Nucleophillic substitution,standard,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
x0528-x0450-merge-1-2,1,100,40,wasgo-2.0,CN(C)C(=O)c1ccccc1Cl,O=C1C(O)CCN1C,product-1,Nucleophillic substitution,standard,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
x0528-x0732-merge-1-1,3,100,40,wasgo-2.0,Cc1cnc(N)c(O)c1,C(O)(=O)CO[Si](C(C)(C)C)(C)C,product-1,Amidation,standard,TRUE,product-1,,product-2,Si-alcohol deprotection,standard,TRUE,product-2,O=C1C(Cl)CCN1C,product-3,Williamson ether,standard,TRUE,,,,,,,,,,,,
x0528-x0732-merge-1-2,3,100,40,wasgo-2.0,Nc1ccccc1O,C(O)(=O)CO[Si](C(C)(C)C)(C)C,product-1,Amidation,standard,TRUE,product-1,,product-2,Si-alcohol deprotection,standard,TRUE,product-2,O=C1C(Cl)CCN1C,product-3,Williamson ether,standard,TRUE,,,,,,,,,,,,
x0528-x0732-merge-1-3,3,100,40,wasgo-2.0,Cc1cc(O)c(N)cc1,C(O)(=O)CO[Si](C(C)(C)C)(C)C,product-1,Amidation,standard,TRUE,product-1,,product-2,Si-alcohol deprotection,standard,TRUE,product-2,O=C1C(Cl)CCN1C,product-3,Williamson ether,standard,TRUE,,,,,,,,,,,,
x0528-x0732-merge-1-4,3,100,40,wasgo-2.0,Fc1cc(O)c(N)cc1,C(O)(=O)CO[Si](C(C)(C)C)(C)C,product-1,Amidation,standard,TRUE,product-1,,product-2,Si-alcohol deprotection,standard,TRUE,product-2,O=C1C(Cl)CCN1C,product-3,Williamson ether,standard,TRUE,,,,,,,,,,,,
x0528-x0732-merge-1-5,3,100,40,wasgo-2.0,Cc1cccc(O)c1N,C(O)(=O)CO[Si](C(C)(C)C)(C)C,product-1,Amidation,standard,TRUE,product-1,,product-2,Si-alcohol deprotection,standard,TRUE,product-2,O=C1C(Cl)CCN1C,product-3,Williamson ether,standard,TRUE,,,,,,,,,,,,
x0528-x0732-merge-1-6,3,100,40,wasgo-2.0,Cc1cc(O)c(N)c(C)c1,C(O)(=O)CO[Si](C(C)(C)C)(C)C,product-1,Amidation,standard,TRUE,product-1,,product-2,Si-alcohol deprotection,standard,TRUE,product-2,O=C1C(Cl)CCN1C,product-3,Williamson ether,standard,TRUE,,,,,,,,,,,,
x0528-x0732-merge-1-7,3,100,40,wasgo-2.0,Oc1ccnc(C)c1N,C(O)(=O)CO[Si](C(C)(C)C)(C)C,product-1,Amidation,standard,TRUE,product-1,,product-2,Si-alcohol deprotection,standard,TRUE,product-2,O=C1C(Cl)CCN1C,product-3,Williamson ether,standard,TRUE,,,,,,,,,,,,
x0528-x0732-merge-1-8,3,100,40,wasgo-2.0,Cc1cc(O)c(N)c(C)n1,C(O)(=O)CO[Si](C(C)(C)C)(C)C,product-1,Amidation,standard,TRUE,product-1,,product-2,Si-alcohol deprotection,standard,TRUE,product-2,O=C1C(Cl)CCN1C,product-3,Williamson ether,standard,TRUE,,,,,,,,,,,,
x0528-x0732-merge-2-1,2,100,40,wasgo-2.0,Cc1cnc(N)c(O)c1,O=C(O)CS,product-1,Amidation,standard,TRUE,product-1,O=C1C(Cl)CCN1C,product-2,Williamson ether,standard,TRUE,product-2,,,,,,,,,,,,,,,,,
x0528-x0732-merge-2-2,2,100,40,wasgo-2.0,Nc1ccccc1O,O=C(O)CS,product-1,Amidation,standard,TRUE,product-1,O=C1C(Cl)CCN1C,product-2,Williamson ether,standard,TRUE,product-2,,,,,,,,,,,,,,,,,
x0528-x0732-merge-2-3,2,100,40,wasgo-2.0,Cc1cc(O)c(N)cc1,O=C(O)CS,product-1,Amidation,standard,TRUE,product-1,O=C1C(Cl)CCN1C,product-2,Williamson ether,standard,TRUE,product-2,,,,,,,,,,,,,,,,,
x0528-x0732-merge-2-4,2,100,40,wasgo-2.0,Fc1cc(O)c(N)cc1,O=C(O)CS,product-1,Amidation,standard,TRUE,product-1,O=C1C(Cl)CCN1C,product-2,Williamson ether,standard,TRUE,product-2,,,,,,,,,,,,,,,,,
x0528-x0732-merge-2-5,2,100,40,wasgo-2.0,Cc1cccc(O)c1N,O=C(O)CS,product-1,Amidation,standard,TRUE,product-1,O=C1C(Cl)CCN1C,product-2,Williamson ether,standard,TRUE,product-2,,,,,,,,,,,,,,,,,
x0528-x0732-merge-2-6,2,100,40,wasgo-2.0,Cc1cc(O)c(N)c(C)c1,O=C(O)CS,product-1,Amidation,standard,TRUE,product-1,O=C1C(Cl)CCN1C,product-2,Williamson ether,standard,TRUE,product-2,,,,,,,,,,,,,,,,,
x0528-x0732-merge-2-7,2,100,40,wasgo-2.0,Oc1ccnc(C)c1N,O=C(O)CS,product-1,Amidation,standard,TRUE,product-1,O=C1C(Cl)CCN1C,product-2,Williamson ether,standard,TRUE,product-2,,,,,,,,,,,,,,,,,
x0528-x0732-merge-2-8,2,100,40,wasgo-2.0,Cc1cc(O)c(N)c(C)n1,O=C(O)CS,product-1,Amidation,standard,TRUE,product-1,O=C1C(Cl)CCN1C,product-2,Williamson ether,standard,TRUE,product-2,,,,,,,,,,,,,,,,,
x0528-x0739-merge-1-1,3,100,40,wasgo-2.0,C[Si](C)(Oc1ccccc1O)C(C)(C)C,O=C1C(Cl)CCN1C,product-1,Williamson ether,standard,TRUE,product-1,,product-2,Si-alcohol deprotection,standard,TRUE,product-2,O=C(CCl)N1CCOCC1,product-3,Williamson ether,standard,TRUE,,,,,,,,,,,,
x0528-x0739-merge-1-2,3,100,40,wasgo-2.0,Cc1cccc(O)c1OCc1ccccc1,O=C1C(Cl)CCN1C,product-1,Williamson ether,standard,TRUE,product-1,,product-2,Bn-alcohol-deprotection,standard,TRUE,product-2,O=C(CCl)N1CCOCC1,product-3,Williamson ether,standard,TRUE,,,,,,,,,,,,
x0528-x0739-merge-1-3,3,100,40,wasgo-2.0,Cc1cc(O)c(OCc2ccccc2)c(C)c1,O=C1C(Cl)CCN1C,product-1,Williamson ether,standard,TRUE,product-1,,product-2,Bn-alcohol-deprotection,standard,TRUE,product-2,O=C(CCl)N1CCOCC1,product-3,Williamson ether,standard,TRUE,,,,,,,,,,,,
x0528-x0739-merge-1-4,3,100,40,wasgo-2.0,Cc1cc(OCc2ccccc2)c(O)cc1,O=C1C(Cl)CCN1C,product-1,Williamson ether,standard,TRUE,product-1,,product-2,Bn-alcohol-deprotection,standard,TRUE,product-2,O=C(CCl)N1CCOCC1,product-3,Williamson ether,standard,TRUE,,,,,,,,,,,,
x0528-x0739-merge-1-5,3,100,40,wasgo-2.0,Cc1cnc(OCc2ccccc2)c(O)c1,O=C1C(Cl)CCN1C,product-1,Williamson ether,standard,TRUE,product-1,,product-2,Bn-alcohol-deprotection,standard,TRUE,product-2,O=C(CCl)N1CCOCC1,product-3,Williamson ether,standard,TRUE,,,,,,,,,,,,
x0884-x0719-merge-1-1,4,100,40,wasgo-2.0,Brc1c(N)cccc1NC(=O)OC(C)(C)C,CC(=O)O,product-1,Amidation,standard,TRUE,product-1,,product-2,Boc deprotection,standard,TRUE,product-2,CC(=O)O,product-3,Amidation,standard,TRUE,product-3,CC1(C)OB(CNS(C)(=O)=O)OC1(C)C,product-4,Suzuki,standard,TRUE,,,,,,
x0884-x0719-x0922-merge-2-1,3,100,40,wasgo-2.0,Fc1ccc(O)c(Br)c1N,CC(=O)O,product-1,Amidation,standard,TRUE,product-1,CN(C)C(=O)CCl,product-2,Williamson ether,standard,TRUE,product-2,CC1(C)OB(CNS(C)(=O)=O)OC1(C)C,product-3,Suzuki,standard,TRUE,,,,,,,,,,,,
