,smiles,reactants,name,r0,r0_found,r1,r1_found,r2,r2_found,r3,r3_found,r4,r4_found,r5,r5_found,r6,r6_found
35,CN1CCC(Oc2ccc(F)c(NC(=O)C3CCCO3)c2)C1=O,"[('Fc1ccc(O)cc1N', 'O=C(O)C1CCCO1'), ('O=C(Nc1cc(O)ccc1F)C1CCCO1', 'O=C1C(Cl)CCN1C')]",FBNVFPGRCAQPCT-UHFFFAOYSA-N,'Fc1cccOcc1N',, 'O=COC1CCCO1',, 'O=CNc1ccOccc1FC1CCCO1',, 'O=C1CClCCN1C',,,,,,,
36,Cc1ccc(NC(=O)C2CCCO2)cc1OC1CCN(C)C1=O,"[('Nc1cc(O)c(C)cc1', 'O=C(O)C1CCCO1'), ('Cc1ccc(NC(=O)C2CCCO2)cc1O', 'O=C1C(Cl)CCN1C')]",ZTDJEGPURPWKAK-UHFFFAOYSA-N,'Nc1ccOcCcc1',, 'O=COC1CCCO1',, 'Cc1cccNC=OC2CCCO2cc1O',, 'O=C1CClCCN1C',,,,,,,
37,Cc1cc(C)c(OC2CCN(C)C2=O)cc1NC(=O)C1CCCO1,"[('Nc1cc(O)c(C)cc1C', 'O=C(O)C1CCCO1'), ('Cc1cc(C)c(NC(=O)C2CCCO2)cc1O', 'O=C1C(Cl)CCN1C')]",WBDILGJJGDRLFR-UHFFFAOYSA-N,'Nc1ccOcCcc1C',, 'O=COC1CCCO1',, 'Cc1ccCcNC=OC2CCCO2cc1O',, 'O=C1CClCCN1C',,,,,,,
38,CN1CCC(Oc2cncc(NC(=O)C3CCCO3)c2)C1=O,"[('Nc1cncc(O)c1', 'O=C(O)C1CCCO1'), ('O=C(Nc1cncc(O)c1)C1CCCO1', 'O=C1C(Cl)CCN1C')]",VPAXKPTVSGUXQZ-UHFFFAOYSA-N,'Nc1cnccOc1',, 'O=COC1CCCO1',, 'O=CNc1cnccOc1C1CCCO1',, 'O=C1CClCCN1C',,,,,,,
39,Cc1cccc(OC2CCN(C)C2=O)c1NC(=O)CO,"[('Cc1cccc(O)c1N', 'C(O)(=O)CO[Si](C(C)(C)C)(C)C'), 'Cc1cccc(O)c1NC(=O)CO[Si](C)(C)C(C)(C)C', ('Cc1cccc(O)c1NC(=O)CO', 'O=C1C(Cl)CCN1C')]",HQEKNZNNUTZLAE-UHFFFAOYSA-N,'Cc1ccccOc1N',, 'CO=OCO[Si]CCCCCC',, 'Cc1ccccOc1NC=OCO[Si]CCCCCC',, 'Cc1ccccOc1NC=OCO',, 'O=C1CClCCN1C',,,,,
40,Cc1cc(OC2CCN(C)C2=O)c(NC(=O)CO)c(C)n1,"[('Cc1cc(O)c(N)c(C)n1', 'C(O)(=O)CO[Si](C(C)(C)C)(C)C'), 'Cc1cc(O)c(NC(=O)CO[Si](C)(C)C(C)(C)C)c(C)n1', ('Cc1cc(O)c(NC(=O)CO)c(C)n1', 'O=C1C(Cl)CCN1C')]",AKSURHUAGQQWHX-UHFFFAOYSA-N,'Cc1ccOcNcCn1',, 'CO=OCO[Si]CCCCCC',, 'Cc1ccOcNC=OCO[Si]CCCCCCcCn1',, 'Cc1ccOcNC=OCOcCn1',, 'O=C1CClCCN1C',,,,,
41,Cc1cnc(NC(=O)CS)c(OC2CCN(C)C2=O)c1,"[('Cc1cnc(N)c(O)c1', 'O=C(O)CS'), ('Cc1cnc(NC(=O)CS)c(O)c1', 'O=C1C(Cl)CCN1C')]",NRZOHTQVIPNMMH-UHFFFAOYSA-N,'Cc1cncNcOc1',, 'O=COCS',, 'Cc1cncNC=OCScOc1',, 'O=C1CClCCN1C',,,,,,,
42,Cc1cccc(OC2CCN(C)C2=O)c1NC(=O)CS,"[('Cc1cccc(O)c1N', 'O=C(O)CS'), ('Cc1cccc(O)c1NC(=O)CS', 'O=C1C(Cl)CCN1C')]",PJFFRQDHURSHGM-UHFFFAOYSA-N,'Cc1ccccOc1N',, 'O=COCS',, 'Cc1ccccOc1NC=OCS',, 'O=C1CClCCN1C',,,,,,,
43,Cc1cc(C)c(NC(=O)CS)c(OC2CCN(C)C2=O)c1,"[('Cc1cc(O)c(N)c(C)c1', 'O=C(O)CS'), ('Cc1cc(C)c(NC(=O)CS)c(O)c1', 'O=C1C(Cl)CCN1C')]",VUFZUHMIPLXWGK-UHFFFAOYSA-N,'Cc1ccOcNcCc1',, 'O=COCS',, 'Cc1ccCcNC=OCScOc1',, 'O=C1CClCCN1C',,,,,,,
44,Cc1cc(OC2CCN(C)C2=O)c(NC(=O)CS)c(C)n1,"[('Cc1cc(O)c(N)c(C)n1', 'O=C(O)CS'), ('Cc1cc(O)c(NC(=O)CS)c(C)n1', 'O=C1C(Cl)CCN1C')]",XYKYGBPLRZPZMB-UHFFFAOYSA-N,'Cc1ccOcNcCn1',, 'O=COCS',, 'Cc1ccOcNC=OCScCn1',, 'O=C1CClCCN1C',,,,,,,
45,CC(=O)Nc1cccc(O)c1NC(=O)CS,"[('Oc1cccc(N)c1NC(=O)OC(C)(C)C', 'CC(=O)O'), 'CC(=O)Nc1cccc(O)c1NC(=O)OC(C)(C)C', ('CC(=O)Nc1cccc(O)c1N', 'O=C(O)CS')]",FHQLHGVEQIMYTG-UHFFFAOYSA-N,'Oc1ccccNc1NC=OOCCCC',, 'CC=OO',, 'CC=ONc1ccccOc1NC=OOCCCC',, 'CC=ONc1ccccOc1N',, 'O=COCS',,,,,
46,CN(C)C(=O)COCC(=O)Nc1cccc(O)c1,"[('Nc1cccc(O)c1', 'C(O)(=O)CO[Si](C(C)(C)C)(C)C'), 'CC(C)(C)[Si](C)(C)OCC(=O)Nc1cccc(O)c1', ('O=C(CO)Nc1cccc(O)c1', 'CN(C)C(=O)CCl')]",AVXQRKTXSXBNPP-UHFFFAOYSA-N,'Nc1ccccOc1',, 'CO=OCO[Si]CCCCCC',, 'CCCC[Si]CCOCC=ONc1ccccOc1',, 'O=CCONc1ccccOc1',, 'CNCC=OCCl',,,,,
47,CN(C)C(=O)COCC(=O)Nc1cc(O)ccc1F,"[('Fc1ccc(O)cc1N', 'C(O)(=O)CO[Si](C(C)(C)C)(C)C'), 'CC(C)(C)[Si](C)(C)OCC(=O)Nc1cc(O)ccc1F', ('O=C(CO)Nc1cc(O)ccc1F', 'CN(C)C(=O)CCl')]",BTQQVRBHNACNKU-UHFFFAOYSA-N,'Fc1cccOcc1N',, 'CO=OCO[Si]CCCCCC',, 'CCCC[Si]CCOCC=ONc1ccOccc1F',, 'O=CCONc1ccOccc1F',, 'CNCC=OCCl',,,,,
48,Cc1ccc(NC(=O)COCC(=O)N(C)C)cc1O,"[('Nc1cc(O)c(C)cc1', 'C(O)(=O)CO[Si](C(C)(C)C)(C)C'), 'Cc1ccc(NC(=O)CO[Si](C)(C)C(C)(C)C)cc1O', ('Cc1ccc(NC(=O)CO)cc1O', 'CN(C)C(=O)CCl')]",JSUPXYZROWADPA-UHFFFAOYSA-N,'Nc1ccOcCcc1',, 'CO=OCO[Si]CCCCCC',, 'Cc1cccNC=OCO[Si]CCCCCCcc1O',, 'Cc1cccNC=OCOcc1O',, 'CNCC=OCCl',,,,,
49,Cc1cc(C)c(NC(=O)COCC(=O)N(C)C)cc1O,"[('Nc1cc(O)c(C)cc1C', 'C(O)(=O)CO[Si](C(C)(C)C)(C)C'), 'Cc1cc(C)c(NC(=O)CO[Si](C)(C)C(C)(C)C)cc1O', ('Cc1cc(C)c(NC(=O)CO)cc1O', 'CN(C)C(=O)CCl')]",YXOSKKANWJIJOY-UHFFFAOYSA-N,'Nc1ccOcCcc1C',, 'CO=OCO[Si]CCCCCC',, 'Cc1ccCcNC=OCO[Si]CCCCCCcc1O',, 'Cc1ccCcNC=OCOcc1O',, 'CNCC=OCCl',,,,,
50,CN(C)C(=O)COc1cccc(NC(=O)CS)c1,"[('Nc1cccc(O)c1', 'O=C(O)CS'), ('O=C(CS)Nc1cccc(O)c1', 'CN(C)C(=O)CCl')]",LCSKLVVSOFHOOO-UHFFFAOYSA-N,'Nc1ccccOc1',, 'O=COCS',, 'O=CCSNc1ccccOc1',, 'CNCC=OCCl',,,,,,,
51,CN(C)C(=O)COc1ccc(F)c(NC(=O)CS)c1,"[('Fc1ccc(O)cc1N', 'O=C(O)CS'), ('O=C(CS)Nc1cc(O)ccc1F', 'CN(C)C(=O)CCl')]",BAOZEGOGVWZOIX-UHFFFAOYSA-N,'Fc1cccOcc1N',, 'O=COCS',, 'O=CCSNc1ccOccc1F',, 'CNCC=OCCl',,,,,,,
52,Cc1cc(C)c(OCC(=O)N(C)C)cc1NC(=O)CS,"[('Nc1cc(O)c(C)cc1C', 'O=C(O)CS'), ('Cc1cc(C)c(NC(=O)CS)cc1O', 'CN(C)C(=O)CCl')]",RWYKVNCVGBRENI-UHFFFAOYSA-N,'Nc1ccOcCcc1C',, 'O=COCS',, 'Cc1ccCcNC=OCScc1O',, 'CNCC=OCCl',,,,,,,
53,CN(C)C(=O)COc1cncc(NC(=O)CS)c1,"[('Nc1cncc(O)c1', 'O=C(O)CS'), ('O=C(CS)Nc1cncc(O)c1', 'CN(C)C(=O)CCl')]",ZFGIZJRJYCRRHS-UHFFFAOYSA-N,'Nc1cnccOc1',, 'O=COCS',, 'O=CCSNc1cnccOc1',, 'CNCC=OCCl',,,,,,,
54,CN(C)C(=O)COc1cc(OCC(=O)N2CCOCC2)ccc1F,"[('C[Si](C)(Oc1cc(O)ccc1F)C(C)(C)C', 'O=C(CCl)N1CCOCC1'), 'CC(C)(C)[Si](C)(C)Oc1cc(OCC(=O)N2CCOCC2)ccc1F', ('O=C(COc1ccc(F)c(O)c1)N1CCOCC1', 'CN(C)C(=O)CCl')]",CYSUOTMKUDBMFZ-UHFFFAOYSA-N,'C[Si]COc1ccOccc1FCCCC',, 'O=CCClN1CCOCC1',, 'CCCC[Si]CCOc1ccOCC=ON2CCOCC2ccc1F',, 'O=CCOc1cccFcOc1N1CCOCC1',, 'CNCC=OCCl',,,,,
55,CN(C)C(=O)COc1cccc(OCC(=O)N2CCOCC2)c1,"[('CC(C)(C)[Si](C)(C)Oc1cccc(O)c1', 'O=C(CCl)N1CCOCC1'), 'CC(C)(C)[Si](C)(C)Oc1cccc(OCC(=O)N2CCOCC2)c1', ('O=C(COc1cccc(O)c1)N1CCOCC1', 'CN(C)C(=O)CCl')]",LTURCBNOKGSFTI-UHFFFAOYSA-N,'CCCC[Si]CCOc1ccccOc1',, 'O=CCClN1CCOCC1',, 'CCCC[Si]CCOc1ccccOCC=ON2CCOCC2c1',, 'O=CCOc1ccccOc1N1CCOCC1',, 'CNCC=OCCl',,,,,
56,Cc1cc(OCC(=O)N(C)C)cc(OCC(=O)N2CCOCC2)c1,"[('Cc1cc(OCc2ccccc2)cc(O)c1', 'O=C(CCl)N1CCOCC1'), 'Cc1cc(OCC(=O)N2CCOCC2)cc(OCc2ccccc2)c1', ('Cc1cc(O)cc(OCC(=O)N2CCOCC2)c1', 'CN(C)C(=O)CCl')]",WFKUTQSRODQJFO-UHFFFAOYSA-N,'Cc1ccOCc2ccccc2ccOc1',, 'O=CCClN1CCOCC1',, 'Cc1ccOCC=ON2CCOCC2ccOCc2ccccc2c1',, 'Cc1ccOccOCC=ON2CCOCC2c1',, 'CNCC=OCCl',,,,,
57,CN(C)C(=O)COc1ccnc(OCC(=O)N2CCOCC2)c1,"[('Oc1cc(OCc2ccccc2)ccn1', 'O=C(CCl)N1CCOCC1'), 'O=C(COc1cc(OCc2ccccc2)ccn1)N1CCOCC1', ('O=C(COc1cc(O)ccn1)N1CCOCC1', 'CN(C)C(=O)CCl')]",MFVVKWWGPFFRCH-UHFFFAOYSA-N,'Oc1ccOCc2ccccc2ccn1',, 'O=CCClN1CCOCC1',, 'O=CCOc1ccOCc2ccccc2ccn1N1CCOCC1',, 'O=CCOc1ccOccn1N1CCOCC1',, 'CNCC=OCCl',,,,,
58,Cc1ccc(OCC(=O)N(C)C)cc1OCC(=O)N1CCOCC1,"[('Cc1ccc(OCc2ccccc2)cc1O', 'O=C(CCl)N1CCOCC1'), 'Cc1ccc(OCc2ccccc2)cc1OCC(=O)N1CCOCC1', ('Cc1ccc(O)cc1OCC(=O)N1CCOCC1', 'CN(C)C(=O)CCl')]",HWHRLRWYYRBVIM-UHFFFAOYSA-N,'Cc1cccOCc2ccccc2cc1O',, 'O=CCClN1CCOCC1',, 'Cc1cccOCc2ccccc2cc1OCC=ON1CCOCC1',, 'Cc1cccOcc1OCC=ON1CCOCC1',, 'CNCC=OCCl',,,,,
59,Cc1ccc(OCC(=O)N2CCOCC2)cc1OCC(=O)N(C)C,"[('Oc1cc(OCc2ccccc2)c(C)cc1', 'O=C(CCl)N1CCOCC1'), 'Cc1ccc(OCC(=O)N2CCOCC2)cc1OCc1ccccc1', ('Cc1ccc(OCC(=O)N2CCOCC2)cc1O', 'CN(C)C(=O)CCl')]",ALCJNIPCFITZHL-UHFFFAOYSA-N,'Oc1ccOCc2ccccc2cCcc1',, 'O=CCClN1CCOCC1',, 'Cc1cccOCC=ON2CCOCC2cc1OCc1ccccc1',, 'Cc1cccOCC=ON2CCOCC2cc1O',, 'CNCC=OCCl',,,,,
60,CN(C)C(=O)COc1cncc(OCC(=O)N2CCOCC2)c1,"[('Oc1cncc(OCc2ccccc2)c1', 'O=C(CCl)N1CCOCC1'), 'O=C(COc1cncc(OCc2ccccc2)c1)N1CCOCC1', ('O=C(COc1cncc(O)c1)N1CCOCC1', 'CN(C)C(=O)CCl')]",VQRSSBXPBMCVSS-UHFFFAOYSA-N,'Oc1cnccOCc2ccccc2c1',, 'O=CCClN1CCOCC1',, 'O=CCOc1cnccOCc2ccccc2c1N1CCOCC1',, 'O=CCOc1cnccOc1N1CCOCC1',, 'CNCC=OCCl',,,,,
61,Cc1cc(NC(=O)C2CCCO2)cc(OCC(=O)N(C)C)c1,"[('Cc1cc(O)cc(N)c1', 'O=C(O)C1CCCO1'), ('Cc1cc(O)cc(NC(=O)C2CCCO2)c1', 'CN(C)C(=O)CCl')]",PQHLNDLJASDWNV-UHFFFAOYSA-N,'Cc1ccOccNc1',, 'O=COC1CCCO1',, 'Cc1ccOccNC=OC2CCCO2c1',, 'CNCC=OCCl',,,,,,,
62,Cc1ccc(NC(=O)C2CCCO2)cc1OCC(=O)N(C)C,"[('Nc1cc(O)c(C)cc1', 'O=C(O)C1CCCO1'), ('Cc1ccc(NC(=O)C2CCCO2)cc1O', 'CN(C)C(=O)CCl')]",CGGHTLUHFDFCAS-UHFFFAOYSA-N,'Nc1ccOcCcc1',, 'O=COC1CCCO1',, 'Cc1cccNC=OC2CCCO2cc1O',, 'CNCC=OCCl',,,,,,,
63,Cc1cc(C)c(OCC(=O)N(C)C)cc1NC(=O)C1CCCO1,"[('Nc1cc(O)c(C)cc1C', 'O=C(O)C1CCCO1'), ('Cc1cc(C)c(NC(=O)C2CCCO2)cc1O', 'CN(C)C(=O)CCl')]",SRDGULMUCFCNKM-UHFFFAOYSA-N,'Nc1ccOcCcc1C',, 'O=COC1CCCO1',, 'Cc1ccCcNC=OC2CCCO2cc1O',, 'CNCC=OCCl',,,,,,,
64,CN(C)C(=O)COc1cncc(NC(=O)C2CCCO2)c1,"[('Nc1cncc(O)c1', 'O=C(O)C1CCCO1'), ('O=C(Nc1cncc(O)c1)C1CCCO1', 'CN(C)C(=O)CCl')]",JOQRKFCIIQYZLX-UHFFFAOYSA-N,'Nc1cnccOc1',, 'O=COC1CCCO1',, 'O=CNc1cnccOc1C1CCCO1',, 'CNCC=OCCl',,,,,,,
65,N#CCC(=O)Nc1ccccc1(NC(=O)CO),"[('CC(C)(C)OC(=O)Nc1ccccc1(N)', 'O=C(O)CO'), 'CC(C)(C)OC(=O)Nc1ccccc1(NC(=O)CO)', ('c1cccc(NC(=O)CO)c1(N)', 'N#CCC(=O)O')]",LISNPGIFHAQIEO-UHFFFAOYSA-N,'CCCCOC=ONc1ccccc1N',, 'O=COCO',, 'CCCCOC=ONc1ccccc1NC=OCO',, 'c1ccccNC=OCOc1N',, 'N#CCC=OO',,,,,
66,Cc1cc(NC(=O)CO)c(NC(=O)CC#N)cc1,"[('CC(C)(C)OC(=O)Nc1ccc(C)cc1(N)', 'O=C(O)CO'), 'CC(C)(C)OC(=O)Nc1ccc(C)cc1(NC(=O)CO)', ('c1cc(C)cc(NC(=O)CO)c1(N)', 'N#CCC(=O)O')]",HZNFTESFLXXWPL-UHFFFAOYSA-N,'CCCCOC=ONc1cccCcc1N',, 'O=COCO',, 'CCCCOC=ONc1cccCcc1NC=OCO',, 'c1ccCccNC=OCOc1N',, 'N#CCC=OO',,,,,
67,N#CCC(=O)Nc1ccncc1(NC(=O)CO),"[('CC(C)(C)OC(=O)Nc1ccncc1(N)', 'O=C(O)CO'), 'CC(C)(C)OC(=O)Nc1ccncc1(NC(=O)CO)', ('c1cncc(NC(=O)CO)c1(N)', 'N#CCC(=O)O')]",GCAQUNSOGCAEFO-UHFFFAOYSA-N,'CCCCOC=ONc1ccncc1N',, 'O=COCO',, 'CCCCOC=ONc1ccncc1NC=OCO',, 'c1cnccNC=OCOc1N',, 'N#CCC=OO',,,,,
68,c1cc(NC(=O)CO)c(NC(=O)CC#N)cc1F,"[('CC(C)(C)OC(=O)Nc1cc(F)ccc1(N)', 'O=C(O)CO'), 'CC(C)(C)OC(=O)Nc1cc(F)ccc1(NC(=O)CO)', ('c1c(F)ccc(NC(=O)CO)c1(N)', 'N#CCC(=O)O')]",VXLLSVROUGTXAB-UHFFFAOYSA-N,'CCCCOC=ONc1ccFccc1N',, 'O=COCO',, 'CCCCOC=ONc1ccFccc1NC=OCO',, 'c1cFcccNC=OCOc1N',, 'N#CCC=OO',,,,,
69,c1cc(NC(=O)CO)c(NC(=O)CC#N)cc1C,"[('CC(C)(C)OC(=O)Nc1cc(C)ccc1(N)', 'O=C(O)CO'), 'CC(C)(C)OC(=O)Nc1cc(C)ccc1(NC(=O)CO)', ('c1c(C)ccc(NC(=O)CO)c1(N)', 'N#CCC(=O)O')]",YIPNWJATCFTMPP-UHFFFAOYSA-N,'CCCCOC=ONc1ccCccc1N',, 'O=COCO',, 'CCCCOC=ONc1ccCccc1NC=OCO',, 'c1cCcccNC=OCOc1N',, 'N#CCC=OO',,,,,