,smiles,reactants,reaction_names,num_steps,compound_set,hits,name
0,Cc1ccc(NC(=O)CC#N)cc1NC(=O)C1CCCO1,"[('CC(C)(C)OC(=O)Nc1cc(N)c(C)cc1', 'O=C(O)C1CCCO1'), 'Cc1ccc(NC(=O)OC(C)(C)C)cc1NC(=O)C1CCCO1', ('Cc1ccc(N)cc1NC(=O)C1CCCO1', 'N#CCC(=O)O')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,x0310-x0416-merge-2-2,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0416_A_147_A71EV2A-x0501+A+152+1,CEQDLNCRDRYDKS-UHFFFAOYSA-N
1,N#CCC(=O)Nc1cccc(NC(=O)CO)c1,"[('CC(C)(C)OC(=O)Nc1cccc(N)c1', 'O=C(O)CO'), 'CC(C)(C)OC(=O)Nc1cccc(NC(=O)CO)c1', ('Nc1cccc(NC(=O)CO)c1', 'N#CCC(=O)O')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,x0310-x0732-merge-2-1,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1,IGUPJTYXYZPOEC-UHFFFAOYSA-N
2,Cc1ccc(NC(=O)CC#N)cc1NC(=O)CO,"[('CC(C)(C)OC(=O)Nc1cc(N)c(C)cc1', 'O=C(O)CO'), 'Cc1ccc(NC(=O)OC(C)(C)C)cc1NC(=O)CO', ('Cc1ccc(N)cc1NC(=O)CO', 'N#CCC(=O)O')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,x0310-x0732-merge-2-2,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1,NBJGZNPZLLTJSQ-UHFFFAOYSA-N
3,N#CCC(=O)Nc1ccnc(NC(=O)CO)c1,"[('Nc1cc(NC(=O)OC(C)(C)C)ccn1', 'O=C(O)CO'), 'CC(C)(C)OC(=O)Nc1ccnc(NC(=O)CO)c1', ('Nc1ccnc(NC(=O)CO)c1', 'N#CCC(=O)O')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,x0310-x0732-merge-2-3,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1,ODONBPGOOMWOPQ-UHFFFAOYSA-N
4,Cc1ccc(NC(=O)CO)cc1NC(=O)CC#N,"[('CC(C)(C)OC(=O)Nc1cc(N)ccc1C', 'O=C(O)CO'), 'Cc1ccc(NC(=O)CO)cc1NC(=O)OC(C)(C)C', ('Cc1ccc(NC(=O)CO)cc1N', 'N#CCC(=O)O')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,x0310-x0732-merge-2-4,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1,TYJSTJNCXZDPLY-UHFFFAOYSA-N
5,N#CCC(=O)Nc1cc(NC(=O)CO)ccc1F,"[('CC(C)(C)OC(=O)Nc1cc(N)ccc1F', 'O=C(O)CO'), 'CC(C)(C)OC(=O)Nc1cc(NC(=O)CO)ccc1F', ('Nc1cc(NC(=O)CO)ccc1F', 'N#CCC(=O)O')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,x0310-x0732-merge-2-6,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1,JVLRHPWRWSSGDH-UHFFFAOYSA-N
6,Cc1cc(NC(=O)CO)cc(NC(=O)CC#N)c1,"[('CC(C)(C)OC(=O)Nc1cc(C)cc(N)c1', 'O=C(O)CO'), 'Cc1cc(NC(=O)CO)cc(NC(=O)OC(C)(C)C)c1', ('Cc1cc(N)cc(NC(=O)CO)c1', 'N#CCC(=O)O')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,x0310-x0732-merge-2-7,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1,MBMRUNGQBMGNOP-UHFFFAOYSA-N
7,N#CCC(=O)Nc1cc(OCC(=O)N2CCOCC2)ccc1F,"[('Fc1ccc(O)cc1N', 'N#CCC(=O)O'), ('N#CCC(=O)Nc1cc(O)ccc1F', 'O=C(CCl)N1CCOCC1')]","['Amidation', 'Williamson_ether_synthesis']",2,x0310-x0739-merge-2-7,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1,SXKJOQUQPNBOSA-UHFFFAOYSA-N
8,CN(C)C(=O)c1ccc(F)cc1OC1CCN(C)C1=O,"[('O=C(c1ccc(F)cc1Cl)N(C)C', 'O=C1C(O)CCN1C')]",['Nucleophilic_substitution'],1,x0528-x0450-merge-1-1,A71EV2A-x0528_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0450_A_201_A71EV2A-x0501+A+152+1,OTTBQIGJBPRLCN-UHFFFAOYSA-N
9,CN(C)C(=O)c1ccccc1OC1CCN(C)C1=O,"[('CN(C)C(=O)c1ccccc1Cl', 'O=C1C(O)CCN1C')]",['Nucleophilic_substitution'],1,x0528-x0450-merge-1-2,A71EV2A-x0528_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0450_A_201_A71EV2A-x0501+A+152+1,CKSCOKHGLICLHQ-UHFFFAOYSA-N
10,CN1CCC(Oc2ccccc2OCC(=O)N2CCOCC2)C1=O,"[('C[Si](C)(Oc1ccccc1O)C(C)(C)C', 'O=C1C(Cl)CCN1C'), 'CN1CCC(Oc2ccccc2O[Si](C)(C)C(C)(C)C)C1=O', ('CN1CCC(Oc2ccccc2O)C1=O', 'O=C(CCl)N1CCOCC1')]","['Williamson_ether_synthesis', 'TBS_alcohol_deprotection', 'Williamson_ether_synthesis']",3,x0528-x0739-merge-1-1,A71EV2A-x0528_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1,QDEXMOJNLWMDJW-UHFFFAOYSA-N
11,Cc1ccc(OC2CCN(C)C2=O)c(OCC(=O)N2CCOCC2)c1,"[('Cc1cc(OCc2ccccc2)c(O)cc1', 'O=C1C(Cl)CCN1C'), 'Cc1ccc(OC2CCN(C)C2=O)c(OCc2ccccc2)c1', ('Cc1ccc(OC2CCN(C)C2=O)c(O)c1', 'O=C(CCl)N1CCOCC1')]","['Williamson_ether_synthesis', 'Benzyl_alcohol_deprotection', 'Williamson_ether_synthesis']",3,x0528-x0739-merge-1-4,A71EV2A-x0528_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1,BRPRTCVLXGUWHL-UHFFFAOYSA-N
12,Cc1cnc(OCC(=O)N2CCOCC2)c(OC2CCN(C)C2=O)c1,"[('Cc1cnc(OCc2ccccc2)c(O)c1', 'O=C1C(Cl)CCN1C'), 'Cc1cnc(OCc2ccccc2)c(OC2CCN(C)C2=O)c1', ('Cc1cnc(O)c(OC2CCN(C)C2=O)c1', 'O=C(CCl)N1CCOCC1')]","['Williamson_ether_synthesis', 'Benzyl_alcohol_deprotection', 'Williamson_ether_synthesis']",3,x0528-x0739-merge-1-5,A71EV2A-x0528_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1,WAIPLHISPZPDCO-UHFFFAOYSA-N
13,CC(=O)Nc1cccc(OCC(=O)N(C)C)c1CNS(C)(=O)=O,"[('Nc1cccc(O)c1Br', 'CC(=O)O'), ('CC(=O)Nc1cccc(O)c1Br', 'CN(C)C(=O)CCl'), ('CC(=O)Nc1cccc(OCC(=O)N(C)C)c1Br', 'CC1(C)OB(CNS(C)(=O)=O)OC1(C)C')]","['Amidation', 'Williamson_ether_synthesis', 'Sp3-sp2_Suzuki_coupling']",3,x0884-x0719-x0922-merge-2-2,A71EV2A-x0884_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0719_A_301_A71EV2A-x0501+A+152+1 A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1,YZOOPOJBAXYWAO-UHFFFAOYSA-N
14,CC(=O)Nc1cc(C)ccc1NC(=O)CO,"[('CC(C)(C)OC(=O)Nc1ccc(C)cc1N', 'CC(=O)O'), 'CC(=O)Nc1cc(C)ccc1NC(=O)OC(C)(C)C', ('CC(=O)Nc1cc(C)ccc1N', 'O=C(O)CO')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,x0884-x0732-merge-2-3,A71EV2A-x0884_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1,PQJGLHUZTOLOOJ-UHFFFAOYSA-N
15,CC(=O)Nc1ccc(C)cc1NC(=O)CO,"[('CC(C)(C)OC(=O)Nc1cc(C)ccc1N', 'CC(=O)O'), 'CC(=O)Nc1ccc(C)cc1NC(=O)OC(C)(C)C', ('CC(=O)Nc1ccc(C)cc1N', 'O=C(O)CO')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,x0884-x0732-merge-2-4,A71EV2A-x0884_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1,FQFPAZZORQAFOQ-UHFFFAOYSA-N
16,CC(=O)Nc1cccc(NC(=O)CO)c1,"[('CC(C)(C)OC(=O)Nc1cccc(N)c1', 'CC(=O)O'), 'CC(=O)Nc1cccc(NC(=O)OC(C)(C)C)c1', ('CC(=O)Nc1cccc(N)c1', 'O=C(O)CO')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,x0884-x0732-merge-3-1,A71EV2A-x0884_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1,OBUBWHPICUMDFS-UHFFFAOYSA-N
17,CC(=O)Nc1cc(NC(=O)CO)ccc1C,"[('CC(C)(C)OC(=O)Nc1cc(N)c(C)cc1', 'CC(=O)O'), 'CC(=O)Nc1cc(NC(=O)OC(C)(C)C)ccc1C', ('CC(=O)Nc1cc(N)ccc1C', 'O=C(O)CO')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,x0884-x0732-merge-3-2,A71EV2A-x0884_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1,GESKIQUAEAEKEC-UHFFFAOYSA-N
18,CC(=O)Nc1cc(NC(=O)CO)ccn1,"[('Nc1cc(NC(=O)OC(C)(C)C)ccn1', 'CC(=O)O'), 'CC(=O)Nc1cc(NC(=O)OC(C)(C)C)ccn1', ('CC(=O)Nc1cc(N)ccn1', 'O=C(O)CO')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,x0884-x0732-merge-3-3,A71EV2A-x0884_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1,FRTHHRMKZNHOHZ-UHFFFAOYSA-N
19,CC(=O)Nc1ccc(C)c(NC(=O)CO)c1,"[('CC(C)(C)OC(=O)Nc1cc(N)ccc1C', 'CC(=O)O'), 'CC(=O)Nc1ccc(C)c(NC(=O)OC(C)(C)C)c1', ('CC(=O)Nc1ccc(C)c(N)c1', 'O=C(O)CO')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,x0884-x0732-merge-3-4,A71EV2A-x0884_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1,NBKVJXHGVIAVOZ-UHFFFAOYSA-N
20,CC(=O)Nc1ccc(F)c(NC(=O)CO)c1,"[('CC(C)(C)OC(=O)Nc1cc(N)ccc1F', 'CC(=O)O'), 'CC(=O)Nc1ccc(F)c(NC(=O)OC(C)(C)C)c1', ('CC(=O)Nc1ccc(F)c(N)c1', 'O=C(O)CO')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,x0884-x0732-merge-3-6,A71EV2A-x0884_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1,IQMJGAJBLUOSIO-UHFFFAOYSA-N
21,CC(=O)Nc1cc(C)cc(NC(=O)CO)c1,"[('CC(C)(C)OC(=O)Nc1cc(C)cc(N)c1', 'CC(=O)O'), 'CC(=O)Nc1cc(C)cc(NC(=O)OC(C)(C)C)c1', ('CC(=O)Nc1cc(C)cc(N)c1', 'O=C(O)CO')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,x0884-x0732-merge-3-7,A71EV2A-x0884_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1,AQBGOYVDFRNQGD-UHFFFAOYSA-N
22,CC(=O)Nc1cc(C)cc(OCC(=O)N(C)C)c1,"[('Cc1cc(O)cc(N)c1', 'CC(=O)O'), ('CC(=O)Nc1cc(C)cc(O)c1', 'CN(C)C(=O)CCl')]","['Amidation', 'Williamson_ether_synthesis']",2,x0884-x0739-merge-3-1,A71EV2A-x0884_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1,SBHWNWCNYBGLJZ-UHFFFAOYSA-N
23,CC(=O)Nc1cc(OCC(=O)N2CCOCC2)c(C)cc1C,"[('Nc1cc(O)c(C)cc1C', 'CC(=O)O'), ('CC(=O)Nc1cc(O)c(C)cc1C', 'O=C(CCl)N1CCOCC1')]","['Amidation', 'Williamson_ether_synthesis']",2,x0884-x0739-merge-3-9,A71EV2A-x0884_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1,JDJTZDXQRRYBMV-UHFFFAOYSA-N
24,Cc1cnc(OC2CCN(C)C2=O)cc1NC(=O)C1CCCO1,"[('Cc1cnc(O)cc1N', 'O=C(O)C1CCCO1'), ('Cc1cnc(O)cc1NC(=O)C1CCCO1', 'O=C1C(Cl)CCN1C')]","['Amidation', 'Williamson_ether_synthesis']",2,x0528-x0416-merge-1-2,A71EV2A-x0528_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0416_A_147_A71EV2A-x0501+A+152+1,POCUJFWFNYSLBL-UHFFFAOYSA-N
25,CN1CCC(Oc2cc(NC(=O)C3CCCO3)ccn2)C1=O,"[('Nc1ccnc(O)c1', 'O=C(O)C1CCCO1'), ('O=C(Nc1ccnc(O)c1)C1CCCO1', 'O=C1C(Cl)CCN1C')]","['Amidation', 'Williamson_ether_synthesis']",2,x0528-x0416-merge-1-11,A71EV2A-x0528_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0416_A_147_A71EV2A-x0501+A+152+1,USHDETYWPCTHEK-UHFFFAOYSA-N
